Cache content:
|index| v |  tag   |                                 way0                                 | v |  tag   |                                 way1                                 | v |  tag   |                                 way2                                 | v |  tag   |                                 way3                                 |
| 111 | 1 | 080016 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.85c808ca.00000000.00000000.00000000.00000000.00000000. | 1 | 08001b | 00000000.00000000.a0e323e2.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000a | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.9aacbe67.00000000.00000000.00000000.00000000. | 1 | 08001e | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.e3256624.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                 way0                                 | v |  tag   |                                 way1                                 | v |  tag   |                                 way2                                 | v |  tag   |                                 way3                                 |
| 000 | 1 | 100020 | 00000000.00000000.00000000.cadcee8f.00000000.00000000.00000000.00000000. | 1 | 100008 | 00000000.00000000.00000000.00000000.e92b6c0c.00000000.00000000.00000000. | 1 | 10002d | 76b8f998.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100030 | 00000000.00000000.00000000.00000000.00000000.b5c7d979.00000000.00000000. |
| 001 | 1 | 10000e | 00000000.00000000.00000000.00000000.00000000.00000000.2b6dae4e.00000000. | 1 | 100033 | 00000000.00000000.b8fb3bda.00000000.00000000.00000000.00000000.00000000. | 1 | 100036 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.c7d9eb8b. | 1 | 10000b | 00000000.495b6d0d.00000000.00000000.00000000.00000000.00000000.00000000. |
| 010 | 1 | 10002c | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.ef0112b3. | 1 | 100011 | 00000000.00000000.00000000.5b6d7f1f.00000000.00000000.00000000.00000000. | 1 | 100004 | 00000000.00000000.00000000.00000000.00000000.00000000.10529336.00000000. | 1 | 100029 | 00000000.00000000.9de020c2.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 100017 | 00000000.00000000.00000000.00000000.00000000.6d7f9131.00000000.00000000. | 1 | 100007 | 00000000.00000000.00000000.8294a647.00000000.00000000.00000000.00000000. | 1 | 10002f | 00000000.00000000.00000000.00000000.e0226304.00000000.00000000.00000000. | 1 | 100014 | 6daff090.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 10001d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.7f91a343. | 1 | 100032 | 00000000.011324c5.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100035 | 00000000.00000000.00000000.00000000.00000000.00000000.2264a546.00000000. | 1 | 10001a | 00000000.00000000.aff232d2.00000000.00000000.00000000.00000000.00000000. |
| 101 | 1 | 100038 | 00000000.00000000.00000000.132536d7.00000000.00000000.00000000.00000000. | 1 | 100020 | 00000000.00000000.00000000.00000000.f2347514.00000000.00000000.00000000. | 1 | 7fffbf | 00000000.00000000.00000000.7fffbfb0.00000d8f.00000000.00000000.00000000. | 1 | 100013 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.a6b8ca6b. |
| 110 | 1 | 100023 | 00000000.91a3b555.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100026 | 00000000.00000000.00000000.00000000.00000000.00000000.3476b756.00000000. | 1 | 7fffbf | 00000000.00000000.c7d9eb8b.00000d8f.00000cbc.00000000.7fffbfe0.00400020. | 1 | 10003e | 00000000.00000000.00000000.00000000.00000000.253748e9.00000000.00000000. |
| 111 | 1 | 10001c | 00000000.00000000.00000000.00000000.00000000.00000000.195b9c3e.00000000. | 1 | 100001 | 00000000.00000000.a6e929ca.00000000.00000000.00000000.00000000.00000000. | 1 | 100004 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.37495afb. | 1 | 100029 | 00000000.00000000.00000000.a3b5c767.00000000.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                                                 way0                                                                 | v |  tag   |                                                                 way1                                                                 | v |  tag   |                                                                 way2                                                                 | v |  tag   |                                                                 way3                                                                 |
| 000 | 1 | 08001f | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.ce1050f4.00000000.00000000.00000000. | 1 | 080013 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.dcef00a1.00000000.00000000. | 1 | 08000b | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.f20415b7.00000000.00000000.00000000.00000000. | 1 | 08001c | 00000000.00000000.8bce0eb2.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 001 | 1 | 08001a | 00000000.00000000.00000000.00000000.b2f535dc.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08001d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.f537781e.00000000. | 1 | 08000e | 00000000.00000000.00000000.00000000.00000000.041627c9.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080011 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.162839db. |
| 010 | 1 | 08000c | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.3d4f6103.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080008 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.94d717ba.00000000.00000000.00000000.00000000.00000000. | 1 | 080005 | 5294d578.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080014 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.283a4bed.00000000.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 08001a | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.4c5e7011.00000000.00000000. | 1 | 08000b | 00000000.00000000.00000000.00000000.d71959fc.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080006 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.bbfe3ee4.00000000.00000000.00000000. | 1 | 080017 | 00000000.00000000.00000000.3a4c5dff.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 080018 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.8597a94b. | 1 | 080009 | 00000000.00000000.00000000.00000000.00000000.00000000.fe408126.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08001d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.5e708223.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080011 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.5b9dde80.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 101 | 1 | 08001b | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.97a9bb5d.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000c | 4082c368.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000f | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.82c505aa.00000000.00000000.00000000.00000000.00000000. | 1 | 080000 | 00000000.70829435.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 110 | 1 | 08001e | 00000000.00000000.00000000.a9bbcd6f.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080015 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.07498a2e.00000000. | 1 | 080012 | 00000000.00000000.00000000.00000000.c50747ec.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080006 | 00000000.00000000.00000000.00000000.00000000.94a6b859.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 111 | 1 | 080018 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.498bcc70.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08001d | 64a6e788.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000c | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.b8cadc7d.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080004 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.cddff193.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                 way0                                 | v |  tag   |                                 way1                                 | v |  tag   |                                 way2                                 | v |  tag   |                                 way3                                 |
| 000 | 1 | 100024 | 00000000.e8fb0ca5.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100027 | 00000000.00000000.00000000.00000000.00000000.00000000.1f61a226.00000000. | 1 | 10000c | 00000000.00000000.acef2fb2.00000000.00000000.00000000.00000000.00000000. | 1 | 10000f | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.67798b23. |
| 001 | 1 | 100012 | 00000000.00000000.00000000.00000000.ef3171f4.00000000.00000000.00000000. | 1 | 100002 | 00000000.00000000.91d4149a.00000000.00000000.00000000.00000000.00000000. | 1 | 100005 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.8ea0b24b. | 1 | 10002a | 00000000.00000000.00000000.fb0d1eb7.00000000.00000000.00000000.00000000. |
| 010 | 1 | 100030 | 00000000.00000000.00000000.00000000.00000000.0d1f30c9.00000000.00000000. | 1 | 100020 | 00000000.00000000.00000000.223445df.00000000.00000000.00000000.00000000. | 1 | 100008 | 00000000.00000000.00000000.00000000.d41656dc.00000000.00000000.00000000. | 1 | 10002d | 61a3e468.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 100036 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.1f3142db. | 1 | 10000b | 00000000.a0b2c45d.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 10000e | 00000000.00000000.00000000.00000000.00000000.00000000.1658991e.00000000. | 1 | 100033 | 00000000.00000000.a3e626aa.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 10002c | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.46586a03. | 1 | 100011 | 00000000.00000000.00000000.b2c4d66f.00000000.00000000.00000000.00000000. | 1 | 100039 | 00000000.00000000.00000000.00000000.e62868ec.00000000.00000000.00000000. | 1 | 100029 | 00000000.00000000.88cb0b92.00000000.00000000.00000000.00000000.00000000. |
| 101 | 1 | 100017 | 00000000.00000000.00000000.00000000.00000000.c4d6e881.00000000.00000000. | 1 | 10003c | 00000000.314354ed.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 7fffbf | 00000000.00000000.00000000.7fffbfb0.00000551.00000000.00000000.00000000. | 1 | 10003f | 00000000.00000000.00000000.00000000.00000000.00000000.286aab2e.00000000. |
| 110 | 1 | 10001d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.d6e8fa93. | 1 | 100002 | 00000000.00000000.00000000.435566ff.00000000.00000000.00000000.00000000. | 1 | 7fffbf | 00000000.00000000.ef3171f4.00000551.00000d95.00000000.7fffbfe0.00400020. | 1 | 10001a | 00000000.00000000.9add1da2.00000000.00000000.00000000.00000000.00000000. |
| 111 | 1 | 100020 | 00000000.00000000.00000000.00000000.dd1f5fe4.00000000.00000000.00000000. | 1 | 100005 | 6aaced70.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100008 | 00000000.00000000.00000000.00000000.00000000.55677911.00000000.00000000. | 1 | 100038 | 00000000.00000000.00000000.6a7c8e27.00000000.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                                                 way0                                                                 | v |  tag   |                                                                 way1                                                                 | v |  tag   |                                                                 way2                                                                 | v |  tag   |                                                                 way3                                                                 |
| 000 | 1 | 08001e | 4f91d258.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080019 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.3476b740.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.102233cd.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080005 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.253748e3.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 001 | 1 | 08001f | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.b8fb3bc4.00000000.00000000.00000000. | 1 | 080013 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.344657f1.00000000.00000000. | 1 | 08001c | 00000000.00000000.76b8f982.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000b | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.495b6d07.00000000.00000000.00000000.00000000. |
| 010 | 1 | 08000e | 00000000.00000000.00000000.00000000.00000000.5b6d7f19.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000a | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.589adb60.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080002 | 00000000.00000000.00000000.00000000.00000000.00000000.fb3d7e06.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080011 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.6d7f912b. |
| 011 | 1 | 080005 | 3d7fc048.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080014 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.7f91a33d.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080019 | 00000000.586a7c15.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080008 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.7fc2028a.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 080017 | 00000000.00000000.00000000.91a3b54f.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000b | 00000000.00000000.00000000.00000000.c20444cc.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08001f | 00000000.00000000.00000000.00000000.00000000.7c8ea039.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000e | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.0446870e.00000000. |
| 101 | 1 | 080018 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.dcef009b. | 1 | 080009 | 00000000.00000000.00000000.00000000.00000000.00000000.e92b6bf6.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080011 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.4688c950.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08001d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.b5c7d973.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 110 | 1 | 080003 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.d9ebfd97.00000000.00000000.00000000.00000000. | 1 | 08000f | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.6daff07a.00000000.00000000.00000000.00000000.00000000. | 1 | 080017 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.cb0d4dd4.00000000.00000000.00000000. | 1 | 080000 | 00000000.c7d9eb85.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 111 | 1 | 080015 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.f23474fe.00000000. | 1 | 08001a | 00000000.00000000.00000000.00000000.00000000.00000000.0d4f9016.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080009 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.fe1021bb. | 1 | 080006 | 00000000.00000000.00000000.00000000.00000000.ebfe0fa9.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                 way0                                 | v |  tag   |                                 way1                                 | v |  tag   |                                 way2                                 | v |  tag   |                                 way3                                 |
| 000 | 1 | 100003 | 00000000.00000000.00000000.9aacbe4f.00000000.00000000.00000000.00000000. | 1 | 10002b | 00000000.00000000.00000000.00000000.e32565cc.00000000.00000000.00000000. | 1 | 10001b | 00000000.00000000.85c80872.00000000.00000000.00000000.00000000.00000000. | 1 | 10001e | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.2e4051e3. |
| 001 | 1 | 100031 | 00000000.00000000.00000000.00000000.00000000.00000000.2567a80e.00000000. | 1 | 100006 | 5597d840.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100009 | 00000000.00000000.00000000.00000000.00000000.acbed061.00000000.00000000. | 1 | 10002e | 00000000.192b3ccd.00000000.00000000.00000000.00000000.00000000.00000000. |
| 010 | 1 | 10000f | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.bed0e273. | 1 | 100024 | 00000000.405263f5.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100027 | 00000000.00000000.00000000.00000000.00000000.00000000.0a4c8cf6.00000000. | 1 | 10000c | 00000000.00000000.97da1a82.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 100005 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.e5f8099b. | 1 | 10002a | 00000000.00000000.00000000.52647607.00000000.00000000.00000000.00000000. | 1 | 100012 | 00000000.00000000.00000000.00000000.da1c5cc4.00000000.00000000.00000000. | 1 | 100002 | 00000000.00000000.7cbeff6a.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 100030 | 00000000.00000000.00000000.00000000.00000000.64768819.00000000.00000000. | 1 | 100015 | 00000000.d0e2f485.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100018 | 00000000.00000000.00000000.00000000.00000000.00000000.1c5e9f06.00000000. | 1 | 10002d | 4c8ecf38.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 101 | 1 | 100033 | 00000000.00000000.8ed1117a.00000000.00000000.00000000.00000000.00000000. | 1 | 100036 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.76889a2b. | 1 | 7fffbf | 00000000.00000000.00000000.7fffbfb0.00000c4e.00000000.00000000.00000000. | 1 | 10001b | 00000000.00000000.00000000.e2f50697.00000000.00000000.00000000.00000000. |
| 110 | 1 | 10001e | 5ea0e148.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100021 | 00000000.00000000.00000000.00000000.00000000.f50718a9.00000000.00000000. | 1 | 7fffbf | 00000000.00000000.2567a80e.00000c4e.00000e6e.00000000.7fffbfe0.00400020. | 1 | 100039 | 00000000.00000000.00000000.00000000.d11353bc.00000000.00000000.00000000. |
| 111 | 1 | 10003f | 00000000.00000000.00000000.00000000.00000000.00000000.135595fe.00000000. | 1 | 100024 | 00000000.00000000.a0e3238a.00000000.00000000.00000000.00000000.00000000. | 1 | 100027 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.07192abb. | 1 | 10003c | 00000000.889aac3d.00000000.00000000.00000000.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                                                 way0                                                                 | v |  tag   |                                                                 way1                                                                 | v |  tag   |                                                                 way2                                                                 | v |  tag   |                                                                 way3                                                                 |
| 000 | 1 | 08001b | 00000000.00000000.00000000.00000000.00000000.00000000.f83a7ae6.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080016 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.dd1f5fce.00000000. | 1 | 08000a | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.5567790b. | 1 | 080007 | 00000000.00000000.00000000.00000000.00000000.435566f9.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 001 | 1 | 08001e | 3a7cbd28.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080019 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.1f61a210.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080005 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.7c8ea033.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.67798b1d.00000000.00000000.00000000.00000000.00000000.00000000. |
| 010 | 1 | 080013 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.8b9daf41.00000000.00000000. | 1 | 080007 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.014383ee.00000000. | 1 | 080004 | 00000000.00000000.00000000.00000000.bf0141ac.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080010 | 00000000.00000000.00000000.798b9d2f.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 080002 | 00000000.00000000.00000000.00000000.00000000.00000000.e62868d6.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080011 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.c4d6e87b. | 1 | 080016 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.9dafc153.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000a | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.4385c630.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 08001c | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.c1d3e577.00000000.00000000.00000000.00000000. | 1 | 080010 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.c80a4ab4.00000000.00000000.00000000. | 1 | 080019 | 00000000.afc1d365.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080008 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.6aaced5a.00000000.00000000.00000000.00000000.00000000. |
| 101 | 1 | 080017 | 00000000.00000000.00000000.e8fb0c9f.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000b | 00000000.00000000.00000000.00000000.acef2f9c.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000e | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.ef3171de.00000000. | 1 | 08001f | 00000000.00000000.00000000.00000000.00000000.d3e5f789.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 110 | 1 | 080005 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.f80a1bad.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080011 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.3173b420.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080009 | 00000000.00000000.00000000.00000000.00000000.00000000.d41656c6.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08001d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.0d1f30c3.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 111 | 1 | 080008 | 00000000.00000000.00000000.0a1c2dbf.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000b | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.1c2e3fd1.00000000.00000000. | 1 | 080003 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.314354e7.00000000.00000000.00000000.00000000. | 1 | 080017 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.b5f838a4.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                 way0                                 | v |  tag   |                                 way1                                 | v |  tag   |                                 way2                                 | v |  tag   |                                 way3                                 |
| 000 | 1 | 100007 | 00000000.b8cadc65.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 10000a | 00000000.00000000.00000000.00000000.00000000.00000000.195b9be6.00000000. | 1 | 10001f | 498bcc18.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100022 | 00000000.00000000.00000000.00000000.00000000.4c5e6ff9.00000000.00000000. |
| 001 | 1 | 100000 | 00000000.00000000.00000000.00000000.00000000.00000000.fe4080ce.00000000. | 1 | 100025 | 00000000.00000000.8bce0e5a.00000000.00000000.00000000.00000000.00000000. | 1 | 100028 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.5e70820b. | 1 | 10000d | 00000000.00000000.00000000.cadcee77.00000000.00000000.00000000.00000000. |
| 010 | 1 | 10001e | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.8597a933. | 1 | 100003 | 00000000.00000000.00000000.f204159f.00000000.00000000.00000000.00000000. | 1 | 10002b | 00000000.00000000.00000000.00000000.ce10509c.00000000.00000000.00000000. | 1 | 10001b | 00000000.00000000.70b2f342.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 100009 | 00000000.00000000.00000000.00000000.00000000.041627b1.00000000.00000000. | 1 | 10002e | 00000000.7082941d.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100031 | 00000000.00000000.00000000.00000000.00000000.00000000.105292de.00000000. | 1 | 100006 | 4082c310.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
